"uc_id","title","category_id","category_name","subcategory_id","subcategory_name","criticality","difficulty","monitoring_type","splunk_pillar","regulations","app_ta","html_url","json_url"
"UC-1.1.1","CPU Utilization Trending (Linux)","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=cpu` (from `cpu.sh` scripted input)","['Performance', 'Capacity']","observability","","['Performance']","/uc/UC-1.1.1/","/uc/UC-1.1.1/index.json"
"UC-1.1.10","Cron Job Failure Monitoring","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=cron` or `sourcetype=syslog` source=""/var/log/cron""","['Fault']","observability","","['N/A']","/uc/UC-1.1.10/","/uc/UC-1.1.10/index.json"
"UC-1.1.100","Softirq Rate Monitoring","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=vmstat`","['Performance']","observability","","['Performance']","/uc/UC-1.1.100/","/uc/UC-1.1.100/index.json"
"UC-1.1.101","Context Switch Anomalies Detection","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=vmstat`","['Performance']","observability","","['Performance']","/uc/UC-1.1.101/","/uc/UC-1.1.101/index.json"
"UC-1.1.102","EDAC Memory Error Tracking","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, EDAC kernel driver logs`","['Fault']","observability","","['N/A']","/uc/UC-1.1.102/","/uc/UC-1.1.102/index.json"
"UC-1.1.103","IPMI Sensor Threshold Violations","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=custom:ipmi, ipmitool sensor output`","['Fault']","observability","","['N/A']","/uc/UC-1.1.103/","/uc/UC-1.1.103/index.json"
"UC-1.1.104","Thermal Throttling Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, kernel thermal logs`","['Performance']","observability","","['N/A']","/uc/UC-1.1.104/","/uc/UC-1.1.104/index.json"
"UC-1.1.105","Fan Speed Anomalies","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=custom:ipmi, ipmitool reading`","['Fault']","observability","","['N/A']","/uc/UC-1.1.105/","/uc/UC-1.1.105/index.json"
"UC-1.1.106","Power Supply State Changes","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog, IPMI power events`","['Availability']","observability","","['N/A']","/uc/UC-1.1.106/","/uc/UC-1.1.106/index.json"
"UC-1.1.107","Hardware Clock Drift Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=time`","['Configuration']","observability","","['N/A']","/uc/UC-1.1.107/","/uc/UC-1.1.107/index.json"
"UC-1.1.108","Password Policy Violation Detection","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=linux_audit, /etc/shadow audit`","['Security']","security","CJIS,Cyber Essentials,HITRUST","['N/A']","/uc/UC-1.1.108/","/uc/UC-1.1.108/index.json"
"UC-1.1.109","Account Expiry Monitoring","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=custom:account_expiry`","['Performance']","both","","['N/A']","/uc/UC-1.1.109/","/uc/UC-1.1.109/index.json"
"UC-1.1.11","Kernel Panic Detection","1","Server & Compute","1.1","Linux Servers","critical","`sourcetype=syslog`, `dmesg`","['Fault']","observability","","['N/A']","/uc/UC-1.1.11/","/uc/UC-1.1.11/index.json"
"UC-1.1.110","Inactive User Detection","1","Server & Compute","1.1","Linux Servers","medium","`sourcetype=linux_secure`","['Security']","security","","['Authentication']","/uc/UC-1.1.110/","/uc/UC-1.1.110/index.json"
"UC-1.1.111","World-Writable File Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:file_perms`","['Security']","security","","['N/A']","/uc/UC-1.1.111/","/uc/UC-1.1.111/index.json"
"UC-1.1.112","Unowned File Detection","1","Server & Compute","1.1","Linux Servers","high","`sourcetype=custom:unowned_files`","['Fault']","observability","","['N/A']","/uc/UC-1.1.112/","/uc/UC-1.1.112/index.json"
